Artist_id,name,followers,genres,popularity
6YVMFz59CuY7ngCxTxjpxE,aespa,2357825,['k-pop girl group'],73
7n2Ycct7Beij7Dj7meI4X0,TWICE,14578052,"['k-pop', 'k-pop girl group']",79
7n2Ycct7Beij7Dj7meI4X0,TWICE,14578052,"['k-pop', 'k-pop girl group']",79
7n2Ycct7Beij7Dj7meI4X0,TWICE,14578052,"['k-pop', 'k-pop girl group']",79
7n2Ycct7Beij7Dj7meI4X0,TWICE,14578052,"['k-pop', 'k-pop girl group']",79
7n2Ycct7Beij7Dj7meI4X0,TWICE,14578052,"['k-pop', 'k-pop girl group']",79
7n2Ycct7Beij7Dj7meI4X0,TWICE,14578052,"['k-pop', 'k-pop girl group']",79
7n2Ycct7Beij7Dj7meI4X0,TWICE,14578052,"['k-pop', 'k-pop girl group']",79
0tZl5OAXf9jYXFmfRGejs2,SinB,47173,['korean ost'],45
5R7AMwDeroq6Ls0COQYpS4,Kep1er,732708,['k-pop'],66
2QM5S4yO6xHgnNvF0nbZZq,SEULGI,472466,['k-pop'],47
2PSJ6YriU7JsFucxACpU7Y,CHUNG HA,1960303,['k-pop'],64
0tZl5OAXf9jYXFmfRGejs2,SinB,47173,['korean ost'],45
6Xg22wJOAcnvPUfk5WvODH,JEON SOYEON,598958,['k-pop'],55
7n2Ycct7Beij7Dj7meI4X0,TWICE,14578052,"['k-pop', 'k-pop girl group']",79
5R7AMwDeroq6Ls0COQYpS4,Kep1er,732708,['k-pop'],66
73B9bjqS2Z5KLXNGqXf64m,Weeekly,490607,['k-pop'],56
0qlWcS66ohOIi0M8JZwPft,GFRIEND,1420032,"['k-pop', 'k-pop girl group']",60
2MnMuRYL9qsGvWPsZGeDGQ,F.HERO,414337,"['thai hip hop', 'thai pop', 'thai trap']",54
1eVPKI2R4NlX6P5FIuMXis,MILLI,211088,"['thai hip hop', 'thai trap']",55
3XSid6KaiKoMAVZs2ug3yw,Changbin of Stray Kids,18419,[],47
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
1z4g3DjTBBZKhvAroFlhOM,Red Velvet,7389701,"['k-pop', 'k-pop girl group']",71
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
250b0Wlc5Vk0CoUsaCY84M,JENNIE,2656388,['k-pop'],60
2dd5mrQZvg6SmahdgVKDzh,PSY,1471277,"['k-pop', 'k-rap', 'korean old school hip hop']",67
0ebNdVaOfp6N0oZ1guIxM8,SUGA,1781883,['k-pop'],68
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
26VFTg2z8YR0cCuwLzESi2,Halsey,18477891,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop']",83
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
3HqSLMAZ3g3d5poNaI7GOU,IU,7280100,['k-pop'],70
3ZZzT0naD25RhY2uZvIKkJ,EVERGLOW,1585990,"['k-pop', 'k-pop girl group']",61
3cjEqqelV9zb4BYE3qDQ4O,EXO,9234057,"['k-pop', 'k-pop boy group']",69
4pz4uzOMpJQyV8UTsDy4H8,ASTRO,1735269,"['k-pop', 'k-pop boy group']",59
0nC1EIWplBuciNBkJuucSu,KB,3087,[],32
2KC9Qb60EaY0kW4eH68vr3,ITZY,4606480,['k-pop girl group'],73
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
3eVa5w3URK5duf6eyVDbu9,ROSÉ,3166298,['k-pop'],63
3Nrfpe0tUJi4K4DXYWgMUX,BTS,53915209,"['k-pop', 'k-pop boy group']",91
