Song_id,Song,Artist,Album,Album_id,danceability,energy,key,mode,instrumentalness,valence
0BJMgVrnWIvgYsjq8KaPeh,SCIENTIST,['TWICE'],Formula of Love: O+T=<3,5052Ip89wdW8EGdpjEpNeq,0.786,0.858,11,1,0,0.649
5xrtzzzikpG3BLbo4q1Yul,LILAC,['IU'],IU 5th Album 'LILAC',01dPJcwyht77brL4JQiR8R,0.738,0.89,2,0,1.89e-06,0.75
5nCwjUUsmBuNZKn9Xu10Os,Celebrity,['IU'],IU 5th Album 'LILAC',01dPJcwyht77brL4JQiR8R,0.73,0.784,9,1,0,0.673
7n2FZQsaLb7ZRfRPfEeIvr,ELEVEN,['IVE'],ELEVEN,1XMYvsHRt52sMi6wittWqI,0.828,0.731,9,1,0,0.587
4ecVWqbtW6phQGpZMAyqIU,Not Shy,['ITZY'],Not Shy,0aqu2V5ohKHVfWqVFE7Ila,0.776,0.911,2,0,2.59e-06,0.56
5au5BF6e1TgZFrdoAz9p6x,SWIPE,['ITZY'],CRAZY IN LOVE,5W75ifcHJzBAfHezBMfhPI,0.781,0.757,1,1,0,0.666
7qq0EOPW4RRlqdvMBmdd73,Crazy Over You,['BLACKPINK'],THE ALBUM,71O60S5gIJSIAhdnrDIh3N,0.804,0.633,4,1,0.000119,0.67
3dbLT62Cvs46Ju7a8gpr36,Savage,['aespa'],Savage - The 1st Mini Album,3vyyDkvYWC36DwgZCYd3Wu,0.727,0.879,9,1,1.17e-05,0.671
2qQpFbqqkLOGySgNK8wBXt,FANCY,['TWICE'],FANCY YOU,3aLpWFejbsdyafODLXRqwF,0.697,0.874,5,0,0,0.775
3Hz3tTQwOdM6XkA0ALB2G9,Feel Special,['TWICE'],Feel Special,3NQBPabmRm3LzVcmtkTLfo,0.708,0.959,1,1,0.00188,0.644
2xtP8RNbo2BEMzLX7tK7aq,CRY FOR ME,['TWICE'],CRY FOR ME,2aRAPmBCEdo9pWimsI5l87,0.702,0.692,10,1,0,0.419
6YBcbXDYIITuyCEN2YwGRy,Doughnut,['TWICE'],Doughnut,2g8Uav5MCzs3B4pJO9U24p,0.693,0.586,5,0,0,0.459
2VdU1ksBKcETBr8BYRHUvB,ICON,['TWICE'],Formula of Love: O+T=<3,5052Ip89wdW8EGdpjEpNeq,0.746,0.809,6,0,0,0.816
39kH6C2twlYjyssIW02sbr,LAST WALTZ,['TWICE'],Formula of Love: O+T=<3,5052Ip89wdW8EGdpjEpNeq,0.799,0.772,7,0,0,0.61
61iEzLnJzBnMwumWtn0nFp,ESPRESSO,['TWICE'],Formula of Love: O+T=<3,5052Ip89wdW8EGdpjEpNeq,0.656,0.851,7,0,0,0.752
0Zgh5OrJqwox77UoexYvRM,Loveable,['SinB'],A Love So Beautiful OST Part.2,6QyMjnq1pkes2QMxyR7EEd,0.689,0.676,0,1,0,0.341
4gdiCHNbwugojBqr5Jt3pq,WA DA DA,['Kep1er'],FIRST IMPACT,7pHyAucSgWoDNlFHfhQfVN,0.785,0.907,10,1,3.11e-06,0.685
5MwfxCtqMFGYp9Nc1BkTrS,Wow Thing,"['SEULGI', 'CHUNG HA', 'SinB', 'JEON SOYEON']",Wow Thing,3xEPyp7h78uULpDPuKvokH,0.703,0.894,5,0,0,0.737
3omvXShuRPM3zbDpWYqf5g,MORE & MORE,['TWICE'],MORE & MORE,5KsduuDNWzt65TaHzmtciv,0.739,0.841,5,1,0,0.562
4CNMc33n2iv6iedE7SHbS8,Shine - Kep1er Version,['Kep1er'],FIRST IMPACT,7pHyAucSgWoDNlFHfhQfVN,0.764,0.906,6,1,0,0.635
52CBUrIdyf8tbZaUY9iawE,After School,['Weeekly'],We play,4kU6DFVgZKoDYQPZk1OZp9,0.634,0.928,1,1,2.55e-06,0.738
46WaBBaEHzgbN88Ew0nh50,MAGO,['GFRIEND'],回:Walpurgis Night,6keRNtq7CnhNrD2EIKOA6h,0.621,0.821,6,0,0.000578,0.646
59WuWdDH06AYXgdoMENEa3,Mirror Mirror,"['F.HERO', 'MILLI', 'Changbin of Stray Kids']",Mirror Mirror,3R5wfZr723i5qfyPCAuUnS,0.742,0.759,1,1,0,0.506
3XYRV7ZSHqIRDG87DKTtry,Permission to Dance,['BTS'],Permission to Dance,5ExDI42RCtISkQXAgv8dtZ,0.702,0.741,9,1,0,0.646
1NHl9g36Ebu3g16y0vtUNV,Fly To My Room,['BTS'],BE,6nYfHQnvkvOTNHnOhDT3sr,0.764,0.526,11,1,0,0.588
6SpPr7K4YQ2wp8jU6uOTmQ,Queendom,['Red Velvet'],Queendom - The 6th Mini Album,6Pe5LGQgU3mmvuRjFMsACV,0.695,0.896,5,1,0,0.508
55Ctj6nVfobn9AcPe6sLG2,Like,['BTS'],2 Cool 4 Skool,6egaEe9JaULuUCkihSnYlH,0.737,0.723,0,0,0,0.783
6Yc3tjFCVR2bfAQFRTZBef,HOME,['BTS'],MAP OF THE SOUL : PERSONA,2KqlAl1Kl5fZvbFgJ0qFB6,0.633,0.799,7,0,0,0.534
6V3dOOUiPg53wUf83tBLR8,SOLO - Live,['JENNIE'],BLACKPINK 2021 'THE SHOW' LIVE,5IDJBkr9EzMofENo4ScNxi,0.847,0.551,3,0,4.37e-06,0.515
5oH4DQAuu1J1800RzUsBWa,That That (prod. & feat. SUGA of BTS),"['PSY', 'SUGA']",PSY 9th,0v4swbfO7N9WyJkUo465C4,0.905,0.962,4,1,0,0.906
0fZRNhPJ4AGmwY7rkpdbqK,ON,['BTS'],MAP OF THE SOUL : 7,5W1XY5ucNATjTULERvXx9j,0.583,0.817,9,0,0,0.437
4a9tbd947vo9K8Vti9JwcI,Boy With Luv (feat. Halsey),"['BTS', 'Halsey']",MAP OF THE SOUL : PERSONA,2KqlAl1Kl5fZvbFgJ0qFB6,0.645,0.862,11,0,0,0.803
0zzRxtfO5FGxKdqq4OKmlw,Danger,['BTS'],Dark & Wild,35voVqYGkotyJ945O9egDY,0.738,0.868,1,1,0.000209,0.377
6m1TWFMeon7ai9XLOzdbiR,FAKE LOVE,['BTS'],Love Yourself 轉 'Tear',4NIqCxqP9o8Tp6tGLBqd8O,0.557,0.719,2,0,0,0.345
4lAE47gj539h8R1yxPhhGG,Airplane pt.2,['BTS'],Love Yourself 轉 'Tear',4NIqCxqP9o8Tp6tGLBqd8O,0.77,0.817,0,0,0.000103,0.866
